id,tokens_model_1,labels_model_1,predictions_model_1,tokens_model_2,labels_model_2,predictions_model_2,model_1_wrong,model_2_wrong
4,"['tion', '.', 'Then', ',', 'we', 'extract', 'expansion', 'terms', 'from', 'these', 'clusters', 'using', 'pseudo', 'relevance', 'feedback', '(', 'PRF', ')', 'as', 'implemented', 'in', 'Terrier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O']","['tion', 'Then', 'we', 'extract', 'expansion', 'terms', 'from', 'these', 'clusters', 'using', 'pseudo', 'relevance', 'feedback', '(', 'PRF', ')', 'as', 'implemented', 'in', 'Terrier']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']",True,False
27,"['networks', '.', 'In', 'Proceedings', 'of', 'the', 'IEEE', 'Conference', 'on', 'Computer', 'Vision', 'and', 'Pattern', 'Recognition', '(', 'CVPR', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O']","['networks', 'In', 'Proceedings', 'of', 'the', 'IEEE', 'Conference', 'on', 'Computer', 'Vision', 'and', 'Pattern', 'Recognition', '(', 'CVPR', ')']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O']",False,True
32,"['The', 'DlmSum', 'Summarization', 'Clientprovldes', 'a', 'sum', '-', 'mary', 'of', 'a', 'document', 'in', 'multiple', 'dlmeuslons', 'through', 'a', 'graphical', 'user', 'interface', '(', 'GUI', ')', 'to', 'smt', 'dflferent', 'users', ""'"", 'needs', 'In', 'contrast', 'o', 'a', 'static', 'view', 'of', 'a', 'doc', '-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'DlmSum', 'Summarization', 'Clientprovldes', 'a', 'sum', 'mary', 'of', 'a', 'document', 'in', 'multiple', 'dlmeuslons', 'through', 'a', 'graphical', 'user', 'interface', '(', 'GUI', ')', 'to', 'smt', 'dflferent', 'users', 'needs', 'In', 'contrast', 'o', 'a', 'static', 'view', 'of', 'a', 'doc']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,True
33,"['is', 'encoded', 'in', 'the', 'attributes', 'MODALITY', 'and', 'POLARITY', '.', 'Modality', 'at', 'the', 'syntactic', 'level', 'is', 'encoded', 'as', 'an', 'attribute', 'of', 'the', 'tag', 'SLINK', '(', 'Subordination', 'Link', ')', ',', 'which', 'can', 'have', 'several', 'values', ':', 'factive', ',', 'counterfactive', ',', 'evidential', ',', 'negative', 'evidential', ',', 'modal', ',']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['is', 'encoded', 'in', 'the', 'attributes', 'MODALITY', 'and', 'POLARITY', 'Modality', 'at', 'the', 'syntactic', 'level', 'is', 'encoded', 'as', 'an', 'attribute', 'of', 'the', 'tag', 'SLINK', '(', 'Subordination', 'Link', ')', 'which', 'can', 'have', 'several', 'values', 'factive', 'counterfactive', 'evidential', 'negative', 'evidential', 'modal']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,True
47,"['XOAJC', '+', 'LC', '*', 'Ave', '(', 'XOAJC', ')', '/', 'Ave', '(', 'XOAR', ')', 'The', 'second', 'strategy', 'consists', 'in', 'building', 'a', 'prediction', 'model', 'for', 'BLAST', 'bit', 'score', '(', 'BBS', ')', 'using', 'the', 'XOA', 'score', 'and', 'the', 'log', '-', 'cosine', 'LC', 'as', 'predictors']","['B-short', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O']","['B-short', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O']","['XOAJC', 'LC', 'Ave', '(', 'XOAJC', ')', 'Ave', '(', 'XOAR', ')', 'The', 'second', 'strategy', 'consists', 'in', 'building', 'a', 'prediction', 'model', 'for', 'BLAST', 'bit', 'score', '(', 'BBS', ')', 'using', 'the', 'XOA', 'score', 'and', 'the', 'log', 'cosine', 'LC', 'as', 'predictors']","['B-short', 'B-short', 'O', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O']","['B-short', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'B-short', 'O', 'O']",False,True
52,"['3', 'Experimental', 'Results', 'and', 'Discussion', 'We', 'conducted', 'closed', 'track', 'experiments', 'on', 'the', 'Hong', 'Kong', 'City', 'University', '(', 'CityU', ')', 'corpus', 'in', 'The', 'Second', 'International', 'Chinese', 'Word', 'Segmen', '-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['3', 'Experimental', 'Results', 'and', 'Discussion', 'We', 'conducted', 'closed', 'track', 'experiments', 'on', 'the', 'Hong', 'Kong', 'City', 'University', '(', 'CityU', ')', 'corpus', 'in', 'The', 'Second', 'International', 'Chinese', 'Word', 'Segmen']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,True
66,"['Output', '(', '0', '<', 'x', '<', '1', ')', 'Figure', '3', 'Neural', 'network', 'architecture', '(', 'DA', '=', 'descriptor', 'array', 'of', '20', 'items', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'O']","['Output', '(', '0', 'x', '1', ')', 'Figure', '3', 'Neural', 'network', 'architecture', '(', 'DA', 'descriptor', 'array', 'of', '20', 'items', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'B-long', 'I-long', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'B-long', 'O', 'O', 'O', 'O', 'O']",False,True
76,"['Since', 'many', 'responses', 'in', 'ETLA', 'are', 'expected', 'to', 'follow', 'certain', 'patterns', ',', 'it', 'is', 'intuitive', 'to', 'construct', 'limited', 'regular', 'expressions', '(', 'RegEx', ')', 'to', 'match', 'gold', 'standard', 'responses', 'for', 'candidates', 'with', 'high', 'profi', '-']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Since', 'many', 'responses', 'in', 'ETLA', 'are', 'expected', 'to', 'follow', 'certain', 'patterns', 'it', 'is', 'intuitive', 'to', 'construct', 'limited', 'regular', 'expressions', '(', 'RegEx', ')', 'to', 'match', 'gold', 'standard', 'responses', 'for', 'candidates', 'with', 'high', 'profi']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,True
79,"['tion', 'probabilities', 'in', 'both', 'directions', ',', 'seven', 'features', 'for', 'the', 'lexicalized', 'distortion', 'model', ',', 'a', 'word', 'and', 'a', 'phrase', 'penalty', 'and', 'a', 'target', 'language', 'model', '(', 'LM', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O']","['tion', 'probabilities', 'in', 'both', 'directions', 'seven', 'features', 'for', 'the', 'lexicalized', 'distortion', 'model', 'a', 'word', 'and', 'a', 'phrase', 'penalty', 'and', 'a', 'target', 'language', 'model', '(', 'LM', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O']",False,True
80,"['AST', '=', 'Adjectival', 'Sta', '~', 'VST', '=', 'Verb', 'Stem', 'DET', '=', 'Determine', '~', 'N-FLEX', '=', 'Nominal', 'Inflexion', 'NST', '=', 'Noun', 'Stem', 'V-FLEX', '=', 'Verbal', 'Inflsxion', 'PRN', '=', 'Pronoun', 'A-FLEX', '=', 'Adjectival', 'Inflexion']","['B-short', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'B-short', 'O', 'B-long', 'I-long']","['B-short', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'B-short', 'O', 'B-long', 'B-short', 'O', 'B-long', 'I-long']","['AST', 'Adjectival', 'Sta', 'VST', 'Verb', 'Stem', 'DET', 'Determine', 'N-FLEX', 'Nominal', 'Inflexion', 'NST', 'Noun', 'Stem', 'V-FLEX', 'Verbal', 'Inflsxion', 'PRN', 'Pronoun', 'A-FLEX', 'Adjectival', 'Inflexion']","['B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'B-short', 'B-long', 'I-long']","['B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'I-long', 'B-short', 'B-long', 'B-short', 'B-long', 'I-long']",True,False
88,"['we', 'annotate', '?', 'Chen', '?', 'as', 'the', 'Agent', '(', 'ARG0', ')', 'of', 'the', 'full', 'predicate', '?', '[']","['O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['we', 'annotate', 'Chen', 'as', 'the', 'Agent', '(', 'ARG0', ')', 'of', 'the', 'full', 'predicate']","['O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']",True,False
89,"['Table', '3', ':', 'The', 'configurations', 'of', 'our', 'systems', '.', 'The', 'abbreviations', 'in', 'the', 'last', 'column', 'mean', 'training', 'set', '(', 'TS', ')', 'and', 'validating', 'set', '(', 'VS', ')', 'explaining', 'in', 'section', '5', '.', '1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Table', '3', 'The', 'configurations', 'of', 'our', 'systems', 'The', 'abbreviations', 'in', 'the', 'last', 'column', 'mean', 'training', 'set', '(', 'TS', ')', 'and', 'validating', 'set', '(', 'VS', ')', 'explaining', 'in', 'section', '5', '1']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O']",True,False
93,"['whole', 'of', 'MARY', '=', 'K', 'Mary', '>', '.', 'referent', 'of', 'MARY', '=', 'Mary', '.']","['O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O']","['O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O']","['whole', 'of', 'MARY', 'K', 'Mary', 'referent', 'of', 'MARY', 'Mary']","['O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'B-long']","['O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-short', 'O']",False,True
95,"['data', 'are', 'used', 'to', 'train', 'a', 'classifier', ',', 'using', 'any', 'cost-sensitive', 'classification', '(', 'CSC', ')', 'method', '(', 'line', '15', ')', '.', 'New', 'pi']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['data', 'are', 'used', 'to', 'train', 'a', 'classifier', 'using', 'any', 'cost-sensitive', 'classification', '(', 'CSC', ')', 'method', '(', 'line', '15', ')', 'New', 'pi']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True,False
