id,tokens_model_1,labels_model_1,predictions_model_1,tokens_model_2,labels_model_2,predictions_model_2,model_1_wrong,model_2_wrong
105,"['reflecting', 'the', 'distribution', 'of', 'the', 'genres', 'in', 'the', 'MTC', '(', 'Zeyrek', 'et', 'al', '2009', ')', '.', 'The', 'main', 'objective', 'of', 'the', 'project', 'is', 'to', 'annotate', 'discourse', 'connectives', 'with', 'their', 'two', 'arguments', ',', 'modifiers', 'and', 'supplementary', 'text', 'spans', '.', 'Following', 'the', 'Penn', 'Discourse', 'Tree', 'Bank', '(', 'PDTB', ')', ',', 'we', 'take', 'discourse', 'connectives', 'as', 'discourse', '-', 'level', 'predicates', 'taking', 'two', '(', 'and', 'only', 'two', ')', 'arguments', ',', 'called', 'Arg1', 'and', 'Arg2', ',', 'which', 'may', 'span', 'one', 'or', 'more', 'clauses', 'and', 'sentences', 'that', 'are', 'adjacent', 'or', 'nonadjacent', 'to', 'the', 'connective', '(', 'Prasad', 'et', 'al', '2007', ',', 'Webber', ',', '2004', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['reflecting', 'the', 'distribution', 'of', 'the', 'genres', 'in', 'the', 'MTC', '(', 'Zeyrek', 'et', 'al', '2009', ')', 'The', 'main', 'objective', 'of', 'the', 'project', 'is', 'to', 'annotate', 'discourse', 'connectives', 'with', 'their', 'two', 'arguments', 'modifiers', 'and', 'supplementary', 'text', 'spans', 'Following', 'the', 'Penn', 'Discourse', 'Tree', 'Bank', '(', 'PDTB', ')', 'we', 'take', 'discourse', 'connectives', 'as', 'discourse', 'level', 'predicates', 'taking', 'two', '(', 'and', 'only', 'two', ')', 'arguments', 'called', 'Arg1', 'and', 'Arg2', 'which', 'may', 'span', 'one', 'or', 'more', 'clauses', 'and', 'sentences', 'that', 'are', 'adjacent', 'or', 'nonadjacent', 'to', 'the', 'connective', '(', 'Prasad', 'et', 'al', '2007', 'Webber', '2004', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True,False
108,"['Ah', 'receptor', 'recognizes', 'the', 'B', 'cell', 'transcription', 'factor', ',', 'BSAP', '(', 'b', ')', 'Grf40', 'binds', 'to', 'linker', 'for', 'activation', 'of', 'T', 'cells', '(', 'LAT', ')', '(', 'c', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O']","['Ah', 'receptor', 'recognizes', 'the', 'B', 'cell', 'transcription', 'factor', 'BSAP', '(', 'b', ')', 'Grf40', 'binds', 'to', 'linker', 'for', 'activation', 'of', 'T', 'cells', '(', 'LAT', ')', '(', 'c', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O']",False,True
130,"['respectively', '.', 'Hacioglu', 'et', 'al', '(', '2004', ')', 'showed', 'that', 'tagging', 'phrase', 'by', 'phrase', '(', 'P-by-P', ')', 'is', 'better', 'than', 'word', 'by', 'word', '(', 'W-by-W', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O']","['respectively', 'Hacioglu', 'et', 'al', '(', '2004', ')', 'showed', 'that', 'tagging', 'phrase', 'by', 'phrase', '(', 'P-by-P', ')', 'is', 'better', 'than', 'word', 'by', 'word', '(', 'W-by-W', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O']",False,True
133,"['sponsored', 'by', 'the', 'U.S', '.', 'government', '.', 'ACE', '2004', 'defined', '7', 'major', 'entity', 'types', ':', 'PER', '(', 'Person', ')', ',', 'ORG', '(', 'Organization', ')', ',', 'FAC', '(', 'Facility', ')', ',', 'GPE', '(', 'Geo-Political']","['O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long']","['O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'B-long']","['sponsored', 'by', 'the', 'U.S', 'government', 'ACE', '2004', 'defined', '7', 'major', 'entity', 'types', 'PER', '(', 'Person', ')', 'ORG', '(', 'Organization', ')', 'FAC', '(', 'Facility', ')', 'GPE', '(', 'Geo-Political']","['O', 'O', 'O', 'B-short', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long']","['O', 'O', 'O', 'B-short', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long', 'O', 'B-short', 'O', 'B-long']",True,False
134,"['Semantic', 'Role', 'Labeling', '(', 'SRL', ')', 'has', 'been', 'used', 'successfully', 'in', 'several', 'stages', 'of', 'automated', 'Question', 'Answering', '(', 'QA', ')', 'systems', 'but', 'its', 'inherent', 'slow', 'procedures', 'make', 'it']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-long', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Semantic', 'Role', 'Labeling', '(', 'SRL', ')', 'has', 'been', 'used', 'successfully', 'in', 'several', 'stages', 'of', 'automated', 'Question', 'Answering', '(', 'QA', ')', 'systems', 'but', 'its', 'inherent', 'slow', 'procedures', 'make', 'it']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True,False
141,"['Efficient', 'Algorithms', 'for', 'Parsing', 'the', 'DOP', 'Model', '""', ',', 'Proceedings', 'Empirical', 'Methods', 'in', 'Natural', 'Language', 'Processing', ',', 'Philadelphia', '(', 'PA', ')', ',', 'J', '.', 'Goodman', ',', '1998', '.']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Efficient', 'Algorithms', 'for', 'Parsing', 'the', 'DOP', 'Model', 'Proceedings', 'Empirical', 'Methods', 'in', 'Natural', 'Language', 'Processing', 'Philadelphia', '(', 'PA', ')', 'J', 'Goodman', '1998']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'O', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'O']",False,True
192,"['Research', 'Projects', 'Agency', '(', 'DARPA', ')', 'Deep', 'Exploration', 'and', 'Filtering', 'of', 'Text', '(', 'DEFT', ')', 'Program', 'under', 'Air', 'Force', 'Research', 'Laboratory', '(', 'AFRL', ')', 'contract', 'no', '.']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'B-long', 'O', 'B-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O']","['Research', 'Projects', 'Agency', '(', 'DARPA', ')', 'Deep', 'Exploration', 'and', 'Filtering', 'of', 'Text', '(', 'DEFT', ')', 'Program', 'under', 'Air', 'Force', 'Research', 'Laboratory', '(', 'AFRL', ')', 'contract', 'no']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O']","['B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O']",True,False
199,"['In', 'this', 'paper', 'we', 'restrict', 'our', 'attention', 'to', 'the', 'translation', 'from', 'the', 'English-oriented', 'level', '(', 'EL', ')', 'to', 'the', 'domain', 'model', 'level', '(', 'DML', ')', 'since', 'this', 'is', 'where', 'CEs', 'are', 'disambiguated', 'bychoosing', 'unam', '-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'O', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O']","['In', 'this', 'paper', 'we', 'restrict', 'our', 'attention', 'to', 'the', 'translation', 'from', 'the', 'English-oriented', 'level', '(', 'EL', ')', 'to', 'the', 'domain', 'model', 'level', '(', 'DML', ')', 'since', 'this', 'is', 'where', 'CEs', 'are', 'disambiguated', 'bychoosing', 'unam']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'O', 'O']",True,False
216,"['Two', '-', 'liners', 'generated', 'by', 'three', 'different', 'algorithms', 'were', 'evaluated', 'by', 'each', 'subject', ':', 'Script', 'model', '+', 'Concept', 'clustering', '(', 'SM+CC', ')', 'Both', 'script', 'opposition', 'and', 'incongruity', 'are']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Two', 'liners', 'generated', 'by', 'three', 'different', 'algorithms', 'were', 'evaluated', 'by', 'each', 'subject', 'Script', 'model', 'Concept', 'clustering', '(', 'SM+CC', ')', 'Both', 'script', 'opposition', 'and', 'incongruity', 'are']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True,False
225,"['word', 'sense', 'disambiguation', '.', 'IEEE', 'Transactions', 'on', 'Pattern', 'Analysis', 'and', 'Machine', 'Intelligence', '(', 'PAMI', ')', ',', '27', '(', '7', ')', ':', '1063', '?', '1074', '.']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['word', 'sense', 'disambiguation', 'IEEE', 'Transactions', 'on', 'Pattern', 'Analysis', 'and', 'Machine', 'Intelligence', '(', 'PAMI', ')', '27', '(', '7', ')', '1063', '1074']","['O', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-short', 'B-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,True
228,"['We', 'experimented', 'with', 'the', 'following', 'four', 'machine', 'learning', 'algorithms', ':', 'Support', 'Vector', 'Machine', '(', 'SVM', ')', ',', 'Multilayer', 'Perceptro', 'n', '(', 'MLP', ')', ',', 'Decision', 'Tree', 's', '(', 'DT', ')', 'and', 'AdaBoost', '(', 'AB', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'B-short', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'O', 'O', 'O']","['We', 'experimented', 'with', 'the', 'following', 'four', 'machine', 'learning', 'algorithms', 'Support', 'Vector', 'Machine', '(', 'SVM', ')', 'Multilayer', 'Perceptro', 'n', '(', 'MLP', ')', 'Decision', 'Tree', 's', '(', 'DT', ')', 'and', 'AdaBoost', '(', 'AB', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'B-short', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-long', 'I-long', 'I-long', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'B-long', 'I-long', 'O', 'O', 'B-short', 'O', 'O', 'B-long', 'O', 'B-short', 'O']",True,False
